Element Code,Element,Year Code,Year,Value,Flag
5312,Area harvested,1961,1961,7858558,A
5419,Yield,1961,1961,8564,Fc
5510,Production,1961,1961,6729680,A
5312,Area harvested,1962,1962,8090856,A
5419,Yield,1962,1962,8580,Fc
5510,Production,1962,1962,6941600,A
5312,Area harvested,1963,1963,8212602,A
5419,Yield,1963,1963,8777,Fc
5510,Production,1963,1963,7208300,A
5312,Area harvested,1964,1964,8533549,A
5419,Yield,1964,1964,8865,Fc
5510,Production,1964,1964,7565300,A
5312,Area harvested,1965,1965,8872528,A
5419,Yield,1965,1965,8866,Fc
5510,Production,1965,1965,7866500,A
5312,Area harvested,1966,1966,8667751,A
5419,Yield,1966,1966,8400,Fc
5510,Production,1966,1966,7281250,A
5312,Area harvested,1967,1967,9031397,A
5419,Yield,1967,1967,9042,Fc
5510,Production,1967,1967,8166500,A
5312,Area harvested,1968,1968,9536762,A
5419,Yield,1968,1968,11316,Fc
5510,Production,1968,1968,10791900,A
5312,Area harvested,1969,1969,9706300,A
5419,Yield,1969,1969,11920,Fc
5510,Production,1969,1969,11569500,A
5312,Area harvested,1970,1970,9837847,A
5419,Yield,1970,1970,12297,Fc
5510,Production,1970,1970,12097337,A
5312,Area harvested,1971,1971,9473889,A
5419,Yield,1971,1971,11966,Fc
5510,Production,1971,1971,11336393,A
5312,Area harvested,1972,1972,9190065,A
5419,Yield,1972,1972,12841,Fc
5510,Production,1972,1972,11800886,A
5312,Area harvested,1973,1973,9602198,A
5419,Yield,1973,1973,13258,Fc
5510,Production,1973,1973,12730806,A
5312,Area harvested,1974,1974,9525590,A
5419,Yield,1974,1974,13139,Fc
5510,Production,1974,1974,12515833,A
5312,Area harvested,1975,1975,9435332,A
5419,Yield,1975,1975,13914,Fc
5510,Production,1975,1975,13127967,A
5312,Area harvested,1976,1976,9764570,A
5419,Yield,1976,1976,14607,Fc
5510,Production,1976,1976,14262949,A
5312,Area harvested,1977,1977,10280049,A
5419,Yield,1977,1977,14703,Fc
5510,Production,1977,1977,15115120,A
5312,Area harvested,1978,1978,10330327,A
5419,Yield,1978,1978,14292,Fc
5510,Production,1978,1978,14764206,A
5312,Area harvested,1979,1979,10585100,A
5419,Yield,1979,1979,15403,Fc
5510,Production,1979,1979,16304600,A
5312,Area harvested,1980,1980,10584500,A
5419,Yield,1980,1980,16131,Fc
5510,Production,1980,1980,17073600,A
5312,Area harvested,1981,1981,10910000,A
5419,Yield,1981,1981,16702,Fc
5510,Production,1981,1981,18222050,A
5312,Area harvested,1982,1982,11040200,A
5419,Yield,1982,1982,16373,Fc
5510,Production,1982,1982,18075950,A
5312,Area harvested,1983,1983,11401300,A
5419,Yield,1983,1983,16753,Fc
5510,Production,1983,1983,19100750,A
5312,Area harvested,1984,1984,11350900,A
5419,Yield,1984,1984,15449,Fc
5510,Production,1984,1984,17535900,A
5312,Area harvested,1985,1985,11048800,A
5419,Yield,1985,1985,16019,Fc
5510,Production,1985,1985,17699400,A
5312,Area harvested,1986,1986,11382000,A
5419,Yield,1986,1986,18333,Fc
5510,Production,1986,1986,20866100,A
5312,Area harvested,1987,1987,11317900,A
5419,Yield,1987,1987,16282,Fc
5510,Production,1987,1987,18428100,A
5312,Area harvested,1988,1988,11302100,A
5419,Yield,1988,1988,17024,Fc
5510,Production,1988,1988,19240300,A
5312,Area harvested,1989,1989,11809700,A
5419,Yield,1989,1989,17797,Fc
5510,Production,1989,1989,21017550,A
5312,Area harvested,1990,1990,11864100,A
5419,Yield,1990,1990,17664,Fc
5510,Production,1990,1990,20957200,A
5312,Area harvested,1991,1991,11705800,A
5419,Yield,1991,1991,18058,Fc
5510,Production,1991,1991,21137950,A
5312,Area harvested,1992,1992,11738200,A
5419,Yield,1992,1992,18847,Fc
5510,Production,1992,1992,22123350,A
5312,Area harvested,1993,1993,12181400,A
5419,Yield,1993,1993,19595,Fc
5510,Production,1993,1993,23869650,A
5312,Area harvested,1994,1994,12134600,A
5419,Yield,1994,1994,18409,Fc
5510,Production,1994,1994,22338150,A
5312,Area harvested,1995,1995,12210700,A
5419,Yield,1995,1995,20504,Fc
5510,Production,1995,1995,25036450,A
5312,Area harvested,1996,1996,12410400,A
5419,Yield,1996,1996,20463,Fc
5510,Production,1996,1996,25394800,A
5312,Area harvested,1997,1997,12356500,A
5419,Yield,1997,1997,20442,Fc
5510,Production,1997,1997,25259600,A
5312,Area harvested,1998,1998,12718800,A
5419,Yield,1998,1998,22003,Fc
5510,Production,1998,1998,27985200,A
5312,Area harvested,1999,1999,12515100,A
5419,Yield,1999,1999,22178,Fc
5510,Production,1999,1999,27756417,A
5312,Area harvested,2000,2000,12668100,A
5419,Yield,2000,2000,24045,Fc
5510,Production,2000,2000,30460700,A
5312,Area harvested,2001,2001,12126700,A
5419,Yield,2001,2001,22305,Fc
5510,Production,2001,2001,27048000,A
5312,Area harvested,2002,2002,12022100,A
5419,Yield,2002,2002,22602,Fc
5510,Production,2002,2002,27172850,A
5312,Area harvested,2003,2003,12481100,A
5419,Yield,2003,2003,23206,Fc
5510,Production,2003,2003,28963500,A
5312,Area harvested,2004,2004,12470000,A
5419,Yield,2004,2004,24307,Fc
5510,Production,2004,2004,30311300,A
5312,Area harvested,2005,2005,12809800,A
5419,Yield,2005,2005,26158,Fc
5510,Production,2005,2005,33507800,A
5312,Area harvested,2006,2006,12931600,A
5419,Yield,2006,2006,25540,Fc
5510,Production,2006,2006,33027900,A
5312,Area harvested,2007,2007,13051400,A
5419,Yield,2007,2007,27439,Fc
5510,Production,2007,2007,35812200,A
5312,Area harvested,2008,2008,13387900,A
5419,Yield,2008,2008,26537,Fc
5510,Production,2008,2008,35528100,A
5312,Area harvested,2009,2009,13674300,A
5419,Yield,2009,2009,27897,Fc
5510,Production,2009,2009,38147050,A
5312,Area harvested,2010,2010,13332376,A
5419,Yield,2010,2010,26110,Fc
5510,Production,2010,2010,34811258,A
5312,Area harvested,2011,2011,13308200,A
5419,Yield,2011,2011,29534,Fc
5510,Production,2011,2011,39304580,A
5312,Area harvested,2012,2012,12749240,A
5419,Yield,2012,2012,28626,Fc
5510,Production,2012,2012,36496350,A
5312,Area harvested,2013,2013,13363900,A
5419,Yield,2013,2013,30013,Fc
5510,Production,2013,2013,40109711,A
5312,Area harvested,2014,2014,13959878,A
5419,Yield,2014,2014,30012,Fc
5510,Production,2014,2014,41895811,A
5312,Area harvested,2015,2015,13961922,A
5419,Yield,2015,2015,29424,Fc
5510,Production,2015,2015,41081682,A
5312,Area harvested,2016,2016,14087724,A
5419,Yield,2016,2016,30207,Fc
5510,Production,2016,2016,42555022,A
5312,Area harvested,2017,2017,13928846,A
5419,Yield,2017,2017,31804,Fc
5510,Production,2017,2017,44299995,A
5312,Area harvested,2018,2018,13735791,A
5419,Yield,2018,2018,28872,Fc
5510,Production,2018,2018,39658364,A
5312,Area harvested,2019,2019,13893493,A
5419,Yield,2019,2019,28938,Fc
5510,Production,2019,2019,40205238,A
5312,Area harvested,2020,2020,14082566,A
5419,Yield,2020,2020,30208,Fc
5510,Production,2020,2020,42540915,A
